symbol;shortName;sector
ADHI;Adhi Karya (Persero) Tbk. [S];Building Construction, 62
ADRO;Adaro Energy Tbk [S];Coal Mining, 21
AKRA;AKR Corporindo Tbk. [S];Wholesale (Durable and Non-Durable Goods), 91
ANTM;Aneka Tambang Tbk. [S];Metal and Mining, 23
ASII;Astra International Tbk. [S];Automotive and Components, 42
ASRI;Alam Sutera Reality Tbk. [S];Property and Real Estate, 61
BBCA;Bank Central Asia Tbk.;Bank, 81
BBNI;Bank Negara Indonesia (Persero) Tbk.;Bank, 81
BBRI;Bank Rakyat Indonesia (Persero) Tbk.;Bank, 81
BBTN;Bank Tabungan Indonesia (Persero) Tbk.;Bank, 81
BKSL;Sentul City Tbk;Property and Real Estate, 61
BMRI;Bank Mandiri (Persero) Tbk.;Bank, 81
BSDE;Bumi Serpong Damai Tbk. [S];Property and Real Estate, 61
CPIN;Charoen Pokphand Indonesia Tbk. [S];Animal Feed, 36
ELSA;Elnusa Tbk. [S];Crude Petroleum & Natural Gas Production, 22
EXCL;XL Axiata Tbk.;Telecommunication, 73
GGRM;Gudang Garam Tbk.;Tobacco Manufacturers, 52
HMSP;HM Sampoerna Tbk.;Tobacco Manufacturers, 52
ICBP;Indofood CBP Sukses Makmur Tbk. [S];Food and Beverages, 51
INCO;Vale Indonesia Tbk. [S];Metal and Mining, 23
INDF;Indofood Sukses Makmur Tbk. [S];Food and Beverages, 51
INDY;Indika Energy Tbk.;Infrastructure, Utilities and Transportation
INKP;Indah Kiat Pulp & Paper;Basic Industry and Chemicals
INTP;Indocement Tunggal Prakasa Tbk. [S];Cement, 31
ITMG;Indo Tambangraya Megah Tbk;Coal Mining, 21
JSMR;Jasa Marga (Persero) Tbk. [S];Toll Road, Airport, Harbor and Allied Products, 72
KLBF;Kalbe Farma Tbk. [S];Pharmaceuticals, 300
LPKR;Lippo Karawaci Tbk. [S];Property and Real Estate, 61
LPPF;Matahari Department Store Tbk. [S];Retail Trade, 93
MEDC;Medco Energi Internasional Tbk;Crude Petroleum & Natural Gas Production, 22
MNCN;Media Nusantara Citra Tbk. [S];Advertising, Printing and Media, 95
PGAS;Perusahaan Gas Negara (Persero) Tbk. [S];Energy, 71
PTBA;Tambang Batubara Bukit Asam (Persero) Tbk. [S];Coal Mining, 21
PTPP;PP (Persero) Tbk. [S];Building Construction, 62
SCMA;Surya Citra Media Tbk.;Advertising, Printing and Media, 95
SMGR;Semen Indonesia (Persero) Tbk. [S];Cement, 31
SRIL;Sri Rejeki Isman Tbk.;Textile, Garment, 43
SSMS;Sawit Sumbermas Sarana Tbk. [S];Plantation, 12
TLKM;Telekomunikasi Indonesia (Persero) Tbk. [S];Telecommunication, 73
TPIA;Chandra Asri Petrochemical Tbk.;Basic Industry and Chemicals
UNTR;United Tractors Tbk. [S];Wholesale (Durable and Non-Durable Goods), 91
UNVR;Unilever Indonesia Tbk. [S];Cosmetics and Household, 54
WIKA;Wijaya Karya (Persero) Tbk. [S];Building Construction, 62
WSBP;Waskita Beton Precast Tbk.;Basic Industry and Chemicals
WSKT;Waskita Karya (Persero) Tbk. [S];Building Construction, 62